Localidade,populacao_por_hectare,porcentagem_brancos,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,porcentagem_cobertura,taxa_obitos_covid,taxa_atendimentos_covid,taxa_atendimentos_dengue,taxa_atendimentos_saude,taxa_unidades_saude,preds
SANTA FELICIDADE,25.93,0.8670974281008489,0.7274800456100342,37.14,2352.71,1200.0,0.3330296397394439,0.0052261497529456,0.4122006841505131,0.002723932598505,0.53493601925757,0.0001266945394653,0.41220068415051275
SANTA QUITÉRIA,57.39,0.8067908902691512,0.7079089026915114,67.24,2019.3,1100.0,0.1387979967207158,0.0044720496894409,0.429648033126294,0.0038923395445134,0.0,0.0001656314699792,0.35874307325053123
SANTO INÁCIO,19.34,0.8518632583923622,0.7391438250692948,42.47,2568.38,1200.0,0.372321504873945,0.0043116723129042,0.3863566368955959,0.0029257776408992,0.0,0.0,0.38635663689559585
SÃO BRAZ,46.56,0.8337365762553589,0.7253279001655418,37.92,1891.37,1000.0,0.1531937150617306,0.0059425272719555,0.3719597606010442,0.0033108366229466,0.0,0.0001273398701133,0.3670276748682515
SÃO FRANCISCO,45.26,0.8897226753670473,0.7536704730831973,134.11,2837.3,1800.0,0.1595072294191654,0.0068515497553017,0.3786296900489396,0.0027732463295269,0.0,0.0006525285481239,0.3786296900489392
SÃO JOÃO,10.71,0.8060252075007686,0.7233323086381801,36.78,2567.21,1000.0,0.6037655967148058,0.004303719643406,0.3793421457116507,0.002151859821703,0.0,0.0,0.37934214571165087
SÃO LOURENÇO,27.59,0.8972275334608031,0.7275334608030593,68.97,3569.4,2000.0,0.3191084350659621,0.0044614404079031,0.288559592096877,0.0020713830465264,0.0,0.0001593371574251,0.2885595920968773
SÃO MIGUEL,6.33,0.6748376283260005,0.6813324952859836,11.59,854.89,700.0,0.3455522958797196,0.0023046302116069,0.1728472658705216,0.0006285355122564,0.0,0.0,0.1728472658705216
SEMINÁRIO,32.26,0.9181141439205956,0.7244197927309882,124.49,4103.1,2000.0,0.2263343157657049,0.0046708509706612,0.3055028462998102,0.0029192818566632,0.0,0.0013136768354984,0.3055028462998097
SÍTIO CERCADO,103.15,0.693893096732309,0.7177061242155378,17.14,1066.8,800.0,0.0733233308575379,0.0048993724302099,0.3492057996104739,0.013183293659381,0.0,0.0001038736204284,0.3571559380109141
TABOÃO,18.58,0.8124263839811543,0.7258539458186102,32.43,1867.66,1000.0,0.4700944249633204,0.002944640753828,0.285924617196702,0.001472320376914,0.0,0.0,0.2859246171967022
TARUMÃ,19.36,0.8396927651139743,0.7324083250743311,75.47,2973.8,1960.0,0.1569655449140977,0.0037165510406342,0.225222993062438,0.0034687809712586,0.0,0.0002477700693756,0.30764193555456126
TATUQUARA,46.53,0.6505494505494506,0.6785714285714286,10.22,903.64,750.0,0.2698870653545902,0.0049071618037135,0.386737400530504,0.0357900719969685,1.1595680181887078,0.0001515725653656,0.38673740053050387
TINGUI,57.26,0.8602159266174202,0.7325269908271775,54.4,1902.94,1200.0,0.1479984653543574,0.0060069810861271,0.3825797548502313,0.0091728224693562,0.6245636821170549,8.117542008279893e-05,0.3825797548502313
UBERABA,50.71,0.7575496835794382,0.7121128011546575,25.46,1623.51,1000.0,0.1413402672079066,0.0047463084267791,0.3602475852115022,0.0053708226934606,0.7116964583102032,8.326856889086266e-05,0.3602475852115028
UMBARÁ,8.34,0.7636412172984517,0.6990923651895355,16.35,1164.04,850.0,0.4127386803757339,0.0048051254671649,0.3813667912439936,0.0032568072610784,0.0,0.0001067805659369,0.38136679124399353
VILA IZABEL,95.44,0.909130060292851,0.761068044788975,75.57,3390.9,2181.5,0.1644784596059906,0.0053402239448751,0.4058570198105082,0.0033591731266149,0.279328165374677,0.0002583979328165,0.4058570198105088
VISTA ALEGRE,30.28,0.8651665327261363,0.7090811679614252,55.81,2898.74,1500.0,0.3329340527899809,0.0041075095990713,0.345030806321993,0.003214572729708,0.5175462094829896,8.92936869363336e-05,0.34503080632199334
XAXIM,62.94,0.8041866321569725,0.7239341051379805,31.57,1532.17,1000.0,0.1074535348206502,0.0049665978804518,0.3799447378545696,0.0059109509985659,0.5762302822566542,6.995208282326606e-05,0.3799447378545697
