Localidade,populacao_por_hectare,porcentagem_brancos,porcentagem_adultos,indiceEnvelhecimento,rendaMedianacRendimento,porcentagem_cobertura,taxa_obitos_covid,taxa_atendimentos_covid
ABRANCHES,30.56,0.774433239821063,0.7106679808931685,32.04,1000.0,0.37586172468142154,439.7604063992721,33444.53711426188
ÁGUA VERDE,107.74,0.9115216334467672,0.7573553719008265,92.35,2500.0,0.16913566965617863,406.41711229946526,26796.305298979096
AHÚ,62.03,0.9169129150008691,0.7226664349035286,92.58,1467.4054054054054,0.19955153202636783,382.4091778202677,28680.688336520077
ALTO BOQUEIRÃO,44.77,0.7623856458795253,0.7215069590654171,25.17,1000.0,0.3011799143169458,452.7584729183358,33133.3494810978
ALTO DA GLÓRIA,63.37,0.9215933669790916,0.7507209805335257,133.22,3000.0,0.14881307879966763,702.9560201874549,41690.699351117524
ALTO DA RUA XV,57.43,0.9242761692650334,0.7282850779510023,133.2,2500.0,0.16181967587243515,539.2099402180284,53920.994021802835
ATUBA,38.31,0.7726388453090681,0.7258864135550674,25.19,1000.0,0.13300636629159296,464.38657044242234,36743.01851270787
AUGUSTA,7.19,0.7146104880266747,0.6868748105486511,13.39,800.0,0.5157628003939774,484.9954531676266,35798.72688693543
BACACHERI,33.67,0.8773910845200977,0.7412151344063369,79.75,2000.0,0.22380048284760054,564.5908822785876,34334.70969916575
BAIRRO ALTO,64.03,0.7952110354400729,0.7291458812302086,32.82,1000.0,0.11139644060942809,553.073352708975,38138.203270723985
BARREIRINHA,49.76,0.8264416939557085,0.7232613642670811,49.51,1000.0,0.29912155705449117,682.6885719043125,36909.58539157463
BATEL,62.6,0.9347306490163633,0.7311086596800882,177.78,3505.5,0.1510396103748386,900.9009009009009,44861.18771833058
BIGORRILHO,97.83,0.927053924336533,0.7747388481084133,99.91,3000.0,0.21662070324916455,416.4313946922643,34941.417278373796
BOA VISTA,59.44,0.8491562540255057,0.7387929923998454,61.61,1400.0,0.180738819294519,486.2810769032591,30265.361329382973
