areasVerdesM2,popHabPHa,popTotal,popHomens,popBrancos,porcentagem_brancos,pop15a64,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,area,area_verde,porcentagem_cobertura
1853709.38,47.94,50401,24670,38319,0.7602825340767049,36274,0.719707942302732,23.91,1251.29,900.0,10513791.785300596,1853709.38,0.17631216385621062
722859.09,72.82,42662,19736,37162,0.8710796493366462,32026,0.7506914818808307,60.23,2575.5,1750.0,5858496.366405113,722859.09,0.12338645358647894
372730.17,24.97,6077,2954,3563,0.58630903406286,4198,0.6908013822609841,35.67,1065.29,700.0,2434124.8688533287,372730.17,0.15312697173813694
315879.3,50.19,14888,6907,12579,0.8449086512627619,11544,0.7753895754970446,116.3,2831.12,1800.0,2966142.673788918,315879.3,0.10649497840793316
1345285.3,1.19,289,146,208,0.7197231833910035,211,0.7301038062283737,34.48,1170.29,800.0,2436703.7840326037,1345285.3,0.5520922603787444
3890628.07,32.19,32808,15648,25371,0.7733174835405998,23821,0.726072909046574,29.72,1471.8,1000.0,10191779.948265439,3890628.07,0.3817417653981191
4054967.16,25.93,31572,15079,27376,0.8670974281008489,22968,0.7274800456100342,37.14,2352.71,1200.0,12175994.794855285,4054967.16,0.33302963973944394
292054.54,57.39,12075,5682,9742,0.8067908902691512,8548,0.7079089026915114,67.24,2019.3,1100.0,2104169.7063370533,292054.54,0.13879799672071585
1250350.84,19.34,6494,3180,5532,0.8518632583923622,4800,0.7391438250692948,42.47,2568.38,1200.0,3358255.7645262126,1250350.84,0.372321504873945
775208.37,46.56,23559,11305,19642,0.8337365762553589,17088,0.7253279001655418,37.92,1891.37,1000.0,5060314.450156283,775208.37,0.15319371506173068
216044.79,45.26,6130,2749,5454,0.8897226753670473,4620,0.7536704730831973,134.11,2837.3,1800.0,1354451.3987655118,216044.79,0.15950722941916542
1833105.47,10.71,3253,1559,2622,0.8060252075007686,2353,0.7233323086381801,36.78,2567.21,1000.0,3036121.1039089467,1833105.47,0.6037655967148058
725871.42,27.59,6276,2987,5631,0.8972275334608031,4566,0.7275334608030593,68.97,3569.4,2000.0,2274685.7814960517,725871.42,0.3191084350659621
2604640.63,6.33,4773,2422,3221,0.6748376283260005,3252,0.6813324952859836,11.59,854.89,700.0,7537616.334942909,2604640.63,0.34555229587971964
480698.95,32.26,6851,3097,6290,0.9181141439205955,4963,0.7244197927309882,124.49,4103.1,2000.0,2123844.7575824354,480698.95,0.22633431576570495
821189.74,103.15,115525,56132,80162,0.693893096732309,82913,0.7177061242155378,17.14,1066.8,800.0,11199569.50122074,821189.74,0.07332333085753798
859131.86,18.58,3396,1619,2759,0.8124263839811543,2465,0.7258539458186102,32.43,1867.66,1000.0,1827572.9606175069,859131.86,0.47009442496332043
654508.55,19.36,8072,3839,6778,0.8396927651139743,5912,0.7324083250743311,75.47,2973.8,1960.0,4169759.3593434263,654508.55,0.15696554491409775
3032126.57,46.53,52780,26094,34336,0.6505494505494506,35815,0.6785714285714286,10.22,903.64,750.0,11234797.658851307,3032126.57,0.2698870653545902
318386.37,57.26,12319,5819,10597,0.8602159266174202,9024,0.7325269908271775,54.4,1902.94,1200.0,2151281.5638843104,318386.37,0.14799846535435743
2008199.25,50.71,72056,34959,54586,0.7575496835794382,51312,0.7121128011546575,25.46,1623.51,1000.0,14208259.8941603,2008199.25,0.14134026720790663
9265761.46,8.34,18730,9270,14303,0.7636412172984517,13094,0.6990923651895355,16.35,1164.04,850.0,22449462.336713813,9265761.46,0.41273868037573397
200094.92,95.44,11610,5269,10555,0.909130060292851,8836,0.761068044788975,75.57,3390.9,2181.5,1216541.7920336127,200094.92,0.1644784596059906
1231472.42,30.28,11199,5290,9689,0.8651665327261363,7941,0.7090811679614252,55.81,2898.74,1500.0,3698847.8939906713,1231472.42,0.33293405278998095
976257.06,62.94,57182,27599,45985,0.8041866321569725,41396,0.7239341051379805,31.57,1532.17,1000.0,9085388.038927354,976257.06,0.10745353482065029
