Localidade,populacao_por_hectare,porcentagem_brancos,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,porcentagem_cobertura,taxa_atendimentos_covid
CIDADE INDUSTRIAL DE CURITIBA,38.97,0.7059633611461503,0.716558077096666,20.17,1137.65,850.0,0.2106627917024585,0.3674995081644698
ÁGUA VERDE,107.74,0.9115216334467672,0.7573553719008265,92.35,4253.57,2500.0,0.1691356696561786,0.2679630529897909
PRADO VELHO,24.97,0.58630903406286,0.6908013822609841,35.67,1065.29,700.0,0.1531269717381369,0.3159453677801547
CAMPO COMPRIDO,33.8,0.8191282620766241,0.7405607995558023,22.67,2486.19,1200.0,0.4207385103912305,0.3787132148806219
AHÚ,62.03,0.9169129150008692,0.7226664349035286,92.58,2381.5966216216216,1467.4054054054054,0.1995515320263678,0.2868068833652007
CAPÃO DA IMBUIA,110.99,0.8150246666341034,0.7282762663019586,56.84,1766.95,1100.0,0.0895809923467227,0.3171982611244077
CAMPINA DO SIQUEIRA,43.16,0.9104559104559105,0.7409227409227409,68.86,3083.02,1900.0,0.1576778434971911,0.2929292929292929
SÃO FRANCISCO,45.26,0.8897226753670473,0.7536704730831973,134.11,2837.3,1800.0,0.1595072294191654,0.3786296900489396
UMBARÁ,8.34,0.7636412172984517,0.6990923651895355,16.35,1164.04,850.0,0.4127386803757339,0.3813667912439936
BOM RETIRO,27.16,0.904577191621412,0.7090768037238169,121.89,2934.14,1800.0,0.2240374805411139,0.3588052754072924
PORTÃO,72.82,0.8710796493366462,0.7506914818808307,60.23,2575.5,1750.0,0.1233864535864789,0.3303408185270264
